config_name,config_id,dU,dV,dW,sigma,n_samples,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,1.1,100000,90198,2326,2326,2326,0,0,2.326,2.326,2.326
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,1.2,100000,88080,2986,2986,2986,0,0,2.986,2.986,2.986
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,1.3,100000,85689,3576,3576,3576,0,0,3.576,3.576,3.576
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,1.4,100000,83226,4016,4016,4016,0,0,4.016,4.016,4.016
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,1.5,100000,80727,4444,4444,4444,0,0,4.444,4.444,4.444
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,1.6,100000,78077,4761,4761,4761,0,0,4.761,4.761,4.761
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,1.8,100000,72870,5279,5279,5279,0,0,5.279,5.279,5.279
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,2.0,100000,67959,5518,5518,5518,0,0,5.518,5.518,5.518
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,2.2,100000,63389,5675,5675,5675,0,0,5.675,5.675,5.675
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,2.4,100000,59093,5738,5738,5738,0,0,5.738,5.738,5.738
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,2.6,100000,55261,5633,5633,5633,0,0,5.633,5.633,5.633
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,2.8,100000,51853,5598,5598,5598,0,0,5.598,5.598,5.598
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,3.0,100000,48898,5547,5547,5547,0,0,5.547,5.547,5.547
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,3.2,100000,46233,5510,5510,5510,0,0,5.51,5.51,5.51
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,3.4,100000,43879,5413,5413,5413,0,0,5.413,5.413,5.413
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,3.6,100000,41674,5305,5305,5305,0,0,5.305,5.305,5.305
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,3.8,100000,39752,5191,5191,5191,0,0,5.191,5.191,5.191
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,4.0,100000,38013,5142,5142,5142,0,0,5.142,5.142,5.142
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,5.0,100000,31319,4712,4712,4712,0,0,4.712,4.712,4.712
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,6.0,100000,26971,4434,4434,4434,0,0,4.434,4.434,4.434
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,7.0,100000,23995,4165,4165,4165,0,0,4.165,4.165,4.165
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,8.0,100000,21713,3975,3975,3975,0,0,3.975,3.975,3.975
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,9.0,100000,19905,3794,3794,3794,0,0,3.794,3.794,3.794
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,10.0,100000,18489,3630,3630,3630,0,0,3.63,3.63,3.63
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.1,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.3,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.4,100000,99981,1,1,1,0,0,0.001,0.001,0.001
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.5,100000,99732,29,29,29,0,0,0.029,0.029,0.029
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.6,100000,98966,163,163,163,0,0,0.163,0.163,0.163
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.7,100000,97782,461,461,461,0,0,0.461,0.461,0.461
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.8,100000,96149,1086,1086,1086,0,0,1.086,1.086,1.086
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.9,100000,94311,2008,2008,2008,0,0,2.008,2.008,2.008
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.0,100000,92345,2980,2980,2980,0,0,2.98,2.98,2.98
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.1,100000,90198,3929,3929,3929,0,0,3.929,3.929,3.929
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.2,100000,88080,4956,4956,4956,0,0,4.956,4.956,4.956
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.3,100000,85689,5765,5765,5765,0,0,5.765,5.765,5.765
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.4,100000,83226,6501,6501,6501,0,0,6.501,6.501,6.501
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.5,100000,80727,7116,7116,7116,0,0,7.116,7.116,7.116
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.6,100000,78077,7564,7564,7564,0,0,7.564,7.564,7.564
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.8,100000,72870,8241,8241,8241,0,0,8.241,8.241,8.241
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,2.0,100000,67959,8541,8541,8541,0,0,8.541,8.541,8.541
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,2.2,100000,63389,8661,8661,8661,0,0,8.661,8.661,8.661
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,2.4,100000,59093,8623,8623,8623,0,0,8.623,8.623,8.623
NEW_RMT_3954_Type1_UFast_Unequal3,5,10.0,0.1,1.0,2.6,100000,55261,8557,8557,8557,0,0,8.557,8.557,8.557
