config_name,config_id,dU,dV,dW,param_rank,max_growth_rate,alpha_u,beta_u,K_uu,K_vu,delta_u,alpha_v,beta_v,K_uv,K_wv,delta_v,alpha_w,beta_w,K_ww,K_uw,K_vw,delta_w,u_star,v_star,w_star
NEW_LHS_3954_Type2_V1_Unequal3,8,1.0,0.0,0.1,1,0.09514471789180169,0.007077433094880293,1.4462479436287767,0.09245163265235273,0.26723942500123793,0.2436592755887972,0.005889422851713758,8.605716327777886,0.09207924851486214,0.12961324370483618,0.7777816957281338,0.0038604827469243463,1.6570791267318754,0.030767002915064585,0.9136856426323211,0.2649648697111866,0.18465525821355344,0.11797954202781268,1.697547444477265,0.22705338297596256
NEW_LHS_3954_Type2_V1_Unequal3,8,1.0,0.0,0.1,2,0.05209669628836601,0.0011206225038253963,2.6606395720107248,0.18434963094796733,0.6656859596147504,0.9137647851734422,0.005314909977758228,1.5362944908520233,0.06772888040618195,0.10960438300075795,0.12905104641987616,0.003547607119561689,7.629442673471905,0.03863208155385198,0.4430687684831432,0.4427490799785329,0.7426716889542463,0.8219406921485938,1.0265133495604901,0.36352193232318347
NEW_LHS_3954_Type2_V2_Equal,10,1.0,1.0,0.0,1,0.057839813058620744,0.007077433094880293,1.4462479436287767,0.09245163265235273,0.26723942500123793,0.2436592755887972,0.005889422851713758,8.605716327777886,0.09207924851486214,0.12961324370483618,0.7777816957281338,0.0038604827469243463,1.6570791267318754,0.030767002915064585,0.9136856426323211,0.2649648697111866,0.18465525821355344,0.11797954202781268,1.697547444477265,0.22705338297596256
NEW_LHS_3954_Type2_V2_Equal,10,1.0,1.0,0.0,2,0.010788967026065688,0.004279246439464175,1.5860996760533699,0.32174505810547926,0.03811804754553474,0.1430787111800766,0.001844652307465141,3.3523623165943515,0.07869019526458607,0.12384008760295613,0.6088798000120997,0.001251494353224479,8.048222963086118,0.07982616069170008,0.7471493567373078,0.01675937055604186,0.03716931999586202,2.186239811380428,0.07653972315008009,1.0638823883513018
NEW_LHS_3954_Type2_V2_Unequal1,11,5.0,1.0,0.0,1,0.12194343658733979,0.007077433094880293,1.4462479436287767,0.09245163265235273,0.26723942500123793,0.2436592755887972,0.005889422851713758,8.605716327777886,0.09207924851486214,0.12961324370483618,0.7777816957281338,0.0038604827469243463,1.6570791267318754,0.030767002915064585,0.9136856426323211,0.2649648697111866,0.18465525821355344,0.11797954202781268,1.697547444477265,0.22705338297596256
NEW_LHS_3954_Type2_V2_Unequal1,11,5.0,1.0,0.0,2,0.04702833463191733,0.016636961560758712,4.8814509063346305,0.03442379492738607,0.24062373362072745,0.545776015739434,0.004330438543203522,8.632949869801186,0.4753654638476756,0.038454095701904265,0.6131885010547878,0.0013977901851893425,0.7154089326701182,0.0347935653965237,0.5282659906950238,0.42747682829118583,0.38533997126970915,0.7379137587354991,0.8200843610163092,0.12890968491728869
NEW_LHS_3954_Type2_V2_Unequal2,12,1.0,5.0,0.0,1,0.005963700692710813,0.004344522170183175,2.4309562728941367,0.1381096196954199,0.49185001997892,0.35999027059101507,0.005612391407678795,0.505134566539494,0.028180814551482542,0.0565386028977159,0.15519718286087583,0.001876994422996388,1.5068222027890215,0.2571779301456859,0.8491274703594444,0.013304908668263171,0.07188483343831199,0.07229881765231239,2.3647618718770915,0.026117857394211692
NEW_LHS_3954_Type2_V2_Unequal2,12,1.0,5.0,0.0,2,0.002689873809332166,0.0019190734524807192,1.4157382643396228,0.025701008735045022,0.019898726544872014,0.02727482038663757,0.018863059218284885,0.440841246132987,0.04195787183490179,0.172155700745595,0.3970579468840179,0.0024017915662881244,8.583523165567712,0.3269501643657221,0.027556536853630045,0.10285495003815096,0.021957381088966544,0.24718681718680416,0.3385155333342739,0.28332039170549556
NEW_LHS_3954_Type2_V2_Unequal3,13,1.0,0.1,0.0,1,0.142536425011953,0.007077433094880293,1.4462479436287767,0.09245163265235273,0.26723942500123793,0.2436592755887972,0.005889422851713758,8.605716327777886,0.09207924851486214,0.12961324370483618,0.7777816957281338,0.0038604827469243463,1.6570791267318754,0.030767002915064585,0.9136856426323211,0.2649648697111866,0.18465525821355344,0.11797954202781268,1.697547444477265,0.22705338297596256
NEW_LHS_3954_Type2_V2_Unequal3,13,1.0,0.1,0.0,2,0.12038198094875531,0.016636961560758712,4.8814509063346305,0.03442379492738607,0.24062373362072745,0.545776015739434,0.004330438543203522,8.632949869801186,0.4753654638476756,0.038454095701904265,0.6131885010547878,0.0013977901851893425,0.7154089326701182,0.0347935653965237,0.5282659906950238,0.42747682829118583,0.38533997126970915,0.7379137587354991,0.8200843610163092,0.12890968491728869
NEW_LHS_3954_Type2_V2_Unequal4,14,0.1,1.0,0.0,1,0.07459719009422572,0.0012439980107830822,3.031445046031262,0.28964461103049627,0.45044950869680656,0.481921186509506,0.01932526339133328,1.6666693675213957,0.05424412402559645,0.12938127126798546,0.5374779247482193,0.01540989479757631,3.4648948983016696,0.1548787996469711,0.05810057355098212,0.017083865883800023,0.6306202039626156,0.018793465057958335,0.3565788505410507,0.02471905537920092
NEW_LHS_3954_Type2_V2_Unequal4,14,0.1,1.0,0.0,2,0.0330928919564953,0.004344522170183175,2.4309562728941367,0.1381096196954199,0.49185001997892,0.35999027059101507,0.005612391407678795,0.505134566539494,0.028180814551482542,0.0565386028977159,0.15519718286087583,0.001876994422996388,1.5068222027890215,0.2571779301456859,0.8491274703594444,0.013304908668263171,0.07188483343831199,0.07229881765231239,2.3647618718770915,0.026117857394211692
NEW_LHS_3954_Type3_V3_Equal,18,1.0,1.0,0.0,1,0.057839813058620744,0.007077433094880293,1.4462479436287767,0.09245163265235273,0.26723942500123793,0.2436592755887972,0.005889422851713758,8.605716327777886,0.09207924851486214,0.12961324370483618,0.7777816957281338,0.0038604827469243463,1.6570791267318754,0.030767002915064585,0.9136856426323211,0.2649648697111866,0.18465525821355344,0.11797954202781268,1.697547444477265,0.22705338297596256
NEW_LHS_3954_Type3_V3_Equal,18,1.0,1.0,0.0,2,0.010788967026065688,0.004279246439464175,1.5860996760533699,0.32174505810547926,0.03811804754553474,0.1430787111800766,0.001844652307465141,3.3523623165943515,0.07869019526458607,0.12384008760295613,0.6088798000120997,0.001251494353224479,8.048222963086118,0.07982616069170008,0.7471493567373078,0.01675937055604186,0.03716931999586202,2.186239811380428,0.07653972315008009,1.0638823883513018
